OBJECTID,UR2022_V1_00,UR2022_V1_00_NAME,UR2022_V1_00_NAME_ASCII,IUR2022_V1_00,IUR2022_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
515,2122,Springfield,Springfield,21,Rural settlement,1.88863804,1.88863804,7737.036185,1888187.686
516,2123,Malvern Hills-Whitecliffs,Malvern Hills-Whitecliffs,21,Rural settlement,1.24195602,1.24195602,8388.791768,1241888.192
517,2124,Sheffield and Waddington,Sheffield and Waddington,21,Rural settlement,0.7754335,0.7754335,7820.555055,775615.4086
518,2125,Glentunnel,Glentunnel,21,Rural settlement,0.20794634,0.20794634,3498.265455,208030.7006
519,2126,Coalgate,Coalgate,21,Rural settlement,0.74742481,0.74742481,6056.570117,747755.826
520,2127,Hororata,Hororata,21,Rural settlement,1.17344905,1.17344905,6077.029402,1173454.321
521,2128,Darfield,Darfield,14,Small urban area,15.14334165,15.14334165,20447.83598,15144656.03
522,2129,Kirwee,Kirwee,21,Rural settlement,3.68076248,3.68076248,12142.20796,3680680.096
523,2130,West Melton,West Melton,14,Small urban area,5.31923548,5.31923548,14287.55373,5318595.963
524,2131,Dunsandel,Dunsandel,21,Rural settlement,1.93619858,1.93619858,7592.431049,1936484.272
525,2132,Burnham Camp,Burnham Camp,21,Rural settlement,1.49394208,1.49394208,5113.876204,1493929.457
526,2133,Inland water Selwyn District,Inland water Selwyn District,31,Inland water,0,171.7386137,128732.3472,171738746.2
527,2134,Rolleston,Rolleston,13,Medium urban area,22.07562359,22.07562359,23402.39505,22075852.29
528,2135,Prebbleton,Prebbleton,14,Small urban area,5.09778177,5.09778177,11680.09585,5096922.603
529,2136,Springston,Springston,21,Rural settlement,0.36774072,0.36774072,3884.699652,367755.3311
530,2137,Leeston,Leeston,14,Small urban area,2.43667042,2.43667042,10922.68088,2436501.744
531,2138,Doyleston,Doyleston,21,Rural settlement,0.60366648,0.60366648,3895.836945,603886.0215
532,2139,Lincoln,Lincoln,14,Small urban area,9.05756634,9.05756634,15311.83545,9057477.787
533,2140,Southbridge,Southbridge,21,Rural settlement,2.21954363,2.21954363,8137.238195,2219209.596
534,2141,Selwyn Huts,Selwyn Huts,21,Rural settlement,0.12836238,0.12836238,1688.313505,128436.1484
535,2142,Tai Tapu,Tai Tapu,21,Rural settlement,2.42082068,2.42082068,8352.862528,2420784.499
536,2143,Inland water Ashburton District,Inland water Ashburton District,31,Inland water,0,8.06393409,37894.75558,8063997.638
537,2144,Other rural Ashburton District,Other rural Ashburton District,22,Rural other,6110.863075,6110.863075,534262.5843,6110860711
538,2145,Mount Somers,Mount Somers,21,Rural settlement,2.59730879,2.59730879,7834.9337,2597289.591
539,2146,Methven,Methven,14,Small urban area,4.16480223,4.16480223,11890.3439,4164785.979
540,2147,Hinds,Hinds,21,Rural settlement,2.1832629,2.1832629,7467.529636,2183192.59
541,2148,Ashburton,Ashburton,13,Medium urban area,37.9341141,37.9341141,43083.5012,37934653.7
542,2149,Rākaia,Rakaia,14,Small urban area,11.30140457,11.30140457,15304.17773,11300962.66
543,2150,Lake Hood,Lake Hood,21,Rural settlement,12.40696964,12.40696964,33675.4192,12407119.51
544,2151,Other rural Timaru District,Other rural Timaru District,22,Rural other,2670.630383,2670.630383,530529.0994,2670631304
545,2152,Woodbury,Woodbury,21,Rural settlement,0.25989034,0.25989034,2378.907754,259886.8916
546,2153,Geraldine,Geraldine,14,Small urban area,3.12428911,3.12428911,12553.39708,3124085.941
547,2154,Cave,Cave,21,Rural settlement,1.23841466,1.23841466,5045.232311,1238203.692
548,2155,Ōrarī,Orari,21,Rural settlement,3.1692512,3.1692512,8232.107911,3168977.287
549,2156,Pleasant Point,Pleasant Point,14,Small urban area,5.20894215,5.20894215,11261.9432,5209210.797
550,2157,Winchester,Winchester,21,Rural settlement,0.67894278,0.67894278,6026.994495,679112.2752
551,2158,Temuka,Temuka,14,Small urban area,8.35436879,8.35436879,16034.58916,8355099.626
552,2159,Waipōpō,Waipopo,21,Rural settlement,0.25121367,0.25121367,3260.095882,251158.52
553,2160,Milford Huts,Milford Huts,21,Rural settlement,1.17793496,1.17793496,6949.933374,1177710.282
554,2161,Timaru,Timaru,13,Medium urban area,33.98354733,33.98354733,51199.98005,33984452.91
555,2163,Pareora,Pareora,21,Rural settlement,4.32924481,4.32924481,8414.100472,4329090.28
556,2164,Mt Cook Village,Mt Cook Village,21,Rural settlement,9.68129124,9.68129124,16595.7949,9681294.543
557,2165,Inland water Mackenzie District,Inland water Mackenzie District,31,Inland water,0,303.7817024,234558.998,303781127.2
558,2166,Other rural Mackenzie District,Other rural Mackenzie District,22,Rural other,7098.687614,7098.687614,780443.3201,7098688644
559,2167,Tekapō,Tekapo,21,Rural settlement,4.1913072,4.1913072,13268.52112,4191266.986
560,2168,Twizel,Twizel,14,Small urban area,21.07704588,21.07704588,29383.85504,21077422.19
561,2169,Fairlie,Fairlie,21,Rural settlement,4.95329511,4.95329511,14093.05602,4952937.127
562,2170,Inland water Waimate District,Inland water Waimate District,31,Inland water,0,28.61528708,105228.7339,28614975.37
563,2171,Other rural Waimate District,Other rural Waimate District,22,Rural other,3543.112556,3543.112556,328789.4774,3543113165
564,2172,St Andrews,St Andrews,21,Rural settlement,0.59045131,0.59045131,4110.262226,590485.9745
565,2173,Mākikihi,Makikihi,21,Rural settlement,0.33497646,0.33497646,2680.720408,335147.4479
566,2174,Waimate,Waimate,14,Small urban area,8.00809457,8.00809457,12533.40996,8007737.75
567,2175,Glenavy,Glenavy,21,Rural settlement,2.40037215,2.40037215,7158.054416,2400830.153
568,2177,Waitangi (Chatham Islands),Waitangi (Chatham Islands),21,Rural settlement,4.85750746,4.85750746,17725.35289,4857947.976
569,2178,Other rural Chatham Islands,Other rural Chatham Islands,22,Rural other,789.0172395,789.0172395,475491.3604,789019229.6
570,2179,Inland water Chatham Islands,Inland water Chatham Islands,31,Inland water,0,14.39055846,21994.24368,14390623.89
571,2180,Inland water Waitaki District,Inland water Waitaki District,31,Inland water,0,108.5827031,238968.8684,108582790.4
572,2181,Ōmārama,Omarama,21,Rural settlement,8.30457885,8.30457885,13461.48763,8304811.305
573,2182,Otematata,Otematata,21,Rural settlement,2.42618982,2.42618982,8627.674463,2426087.903
574,2183,Other rural Waitaki District,Other rural Waitaki District,22,Rural other,7042.158082,7042.158082,883882.2748,7042156768
575,2184,Kurow,Kurow,21,Rural settlement,4.90590181,4.90590181,12133.59106,4906165.798
576,2185,Duntroon,Duntroon,21,Rural settlement,5.13298796,5.13298796,9921.916702,5133376.448
577,2186,Maheno,Maheno,21,Rural settlement,0.56111045,0.56111045,4525.885005,561262.1044
578,2187,Oamaru,Oamaru,13,Medium urban area,21.46050044,21.46050044,40072.73389,21461150.33
579,2188,Herbert,Herbert,21,Rural settlement,1.10748487,1.10748487,4529.206591,1107371.121
580,2190,Kakanui,Kakanui,21,Rural settlement,2.02441835,2.02441835,7828.090866,2024365.393
581,2191,Hampden,Hampden,21,Rural settlement,2.55648536,2.55648536,6744.962081,2556003.954
582,2192,Moeraki,Moeraki,21,Rural settlement,8.53401569,8.53401569,18692.02602,8534225.302
583,2193,Palmerston,Palmerston,21,Rural settlement,8.77144674,8.77144674,13988.37376,8770515.111
584,2194,Pisa Moorings,Pisa Moorings,21,Rural settlement,1.34629765,1.34629765,7525.258247,1346937.713
585,2195,Cromwell,Cromwell,14,Small urban area,15.62763283,15.62763283,21644.09919,15628024.12
586,2196,Bannockburn,Bannockburn,21,Rural settlement,16.90709326,16.90709326,30335.31613,16907037.13
587,2197,Clyde,Clyde,14,Small urban area,2.08072882,2.08072882,6821.543148,2080413.426
588,2198,Inland water Central Otago District,Inland water Central Otago District,31,Inland water,0,35.02796257,133017.1686,35027663.84
589,2199,Omakau,Omakau,21,Rural settlement,21.47356691,21.47356691,22169.71579,21474293.33
590,2200,Alexandra,Alexandra,14,Small urban area,9.7604017,9.7604017,17986.85337,9760031.008
591,2201,Other rural Central Otago District,Other rural Central Otago District,22,Rural other,9849.501996,9849.501996,863549.0287,9849500944
592,2202,Lake Roxburgh Village,Lake Roxburgh Village,21,Rural settlement,0.68523506,0.68523506,4059.451854,685206.3595
593,2203,Roxburgh,Roxburgh,21,Rural settlement,2.06066017,2.06066017,7116.415928,2060659.876
594,2204,Naseby,Naseby,21,Rural settlement,0.86039066,0.86039066,4317.437306,860475.5286
595,2205,Ranfurly,Ranfurly,21,Rural settlement,3.86141783,3.86141783,8353.875971,3862289.176
596,2206,Ettrick,Ettrick,21,Rural settlement,8.16629871,8.16629871,14421.10387,8166788.576
597,2207,Millers Flat,Millers Flat,21,Rural settlement,0.99498199,0.99498199,5369.284008,994973.8981
598,2208,Glenorchy,Glenorchy,21,Rural settlement,3.93234714,3.93234714,10556.94154,3932471.621
599,2209,Other rural Queenstown-Lakes District,Other rural Queenstown-Lakes District,22,Rural other,8599.20561,8599.20561,1244925.082,8599203186
600,2210,Inland water Queenstown-Lakes District,Inland water Queenstown-Lakes District,31,Inland water,0,655.4896389,547053.8805,655489617.2
601,2211,Arthurs Point,Arthurs Point,14,Small urban area,5.52326432,5.52326432,16196.37496,5522685.829
602,2212,Wānaka,Wanaka,14,Small urban area,28.61178542,28.61178542,31192.41018,28611529.83
603,2213,Lake Hāwea,Lake Hawea,14,Small urban area,2.39122281,2.39122281,6985.636897,2391106.594
604,2214,Millbrook,Millbrook,21,Rural settlement,3.31805362,3.31805362,8566.133239,3318200.189
605,2215,Hāwea Flat,Hawea Flat,21,Rural settlement,16.65713725,16.65713725,20095.74225,16658623.39
606,2216,Arrowtown,Arrowtown,14,Small urban area,2.36226108,2.36226108,7695.818002,2362631.038
607,2217,Queenstown,Queenstown,13,Medium urban area,28.35995671,28.35995671,62704.24869,28359989.84
608,2218,Lake Hayes,Lake Hayes,14,Small urban area,10.89573717,10.89573717,24660.18407,10896035.42
609,2219,Jacks Point,Jacks Point,21,Rural settlement,14.47989419,14.47989419,19611.34857,14480124.73
610,2220,Luggate,Luggate,21,Rural settlement,1.19065913,1.19065913,5529.345501,1190580.224
611,2221,Kingston,Kingston,21,Rural settlement,2.77594117,2.77594117,10847.4104,2776330.31
612,2222,Middlemarch,Middlemarch,21,Rural settlement,1.05436205,1.05436205,5449.838848,1054375.307
613,2223,Other rural Dunedin City,Other rural Dunedin City,22,Rural other,3142.536887,3142.536887,622903.4946,3142537027
614,2224,Outram,Outram,21,Rural settlement,0.79792416,0.79792416,5661.121208,798010.4813
615,2225,Waikouaiti,Waikouaiti,14,Small urban area,7.32830262,7.32830262,19230.58714,7327770.968
616,2226,Karitāne,Karitane,21,Rural settlement,1.29339526,1.29339526,8495.925273,1293224.517
617,2227,Allanton,Allanton,21,Rural settlement,0.78534133,0.78534133,3912.485374,785228.7408
618,2228,Warrington,Warrington,21,Rural settlement,7.39115343,7.39115343,17839.45488,7391167.645
619,2229,Mosgiel,Mosgiel,13,Medium urban area,16.9661162,16.9661162,24909.45888,16966823.43
620,2230,Waitati-Doctors Point,Waitati-Doctors Point,21,Rural settlement,2.69427092,2.69427092,21413.23209,2694708.022
621,2231,Pūrākaunui,Purakaunui,21,Rural settlement,2.8423691,2.8423691,11862.99311,2842466.527
622,2232,Brighton,Brighton,14,Small urban area,3.39818931,3.39818931,18173.72269,3398278.52
623,2233,Dunedin,Dunedin,11,Major urban area,91.56835509,91.56835509,143277.9943,91567222.01
624,2235,Aramoana,Aramoana,21,Rural settlement,0.45210425,0.45210425,2868.239883,452039.1744
625,2236,Harwood,Harwood,21,Rural settlement,1.51224136,1.51224136,5272.353254,1512160.333
626,2237,Ōtākou-Harington Point,Otakou-Harington Point,21,Rural settlement,5.65153876,5.65153876,14437.71982,5651760.945
627,2238,Tapanui,Tapanui,21,Rural settlement,1.973112,1.973112,7933.668122,1972965.674
628,2239,Lawrence,Lawrence,21,Rural settlement,2.19222046,2.19222046,6266.24656,2191991.263
629,2240,Other rural Clutha District,Other rural Clutha District,22,Rural other,6307.260209,6307.260209,872313.3311,6307264050
630,2241,Clinton,Clinton,21,Rural settlement,0.71897967,0.71897967,4794.891056,718922.4757
631,2242,Inland water Clutha District,Inland water Clutha District,31,Inland water,0,27.79593594,183589.1766,27796298.48
632,2243,Balclutha,Balclutha,14,Small urban area,7.54736528,7.54736528,15752.36153,7546921.723
633,2244,Waihola,Waihola,21,Rural settlement,1.63426279,1.63426279,7429.618514,1634213.5
634,2245,Benhar,Benhar,21,Rural settlement,0.71157139,0.71157139,4997.460099,711504.2685
635,2246,Milton,Milton,14,Small urban area,4.16430254,4.16430254,13867.08825,4163955.695
